Month,Open,Closed
2012-07,1,1
2012-08,1,0
2012-09,1,0
2012-12,1,1
2013-01,1,1
2013-05,1,0
2013-11,1,0
2014-02,2,3
2014-04,1,0
2014-05,1,1
2014-06,1,3
2015-01,0,1
2015-06,10,4
2015-07,11,13
2015-08,10,3
2015-09,20,12
2015-10,42,34
2015-11,17,17
2015-12,0,5
2016-03,0,1
2016-04,0,4
2016-06,0,2
2016-07,0,3
2016-08,0,1
2016-09,31,13
2016-10,75,45
2016-11,18,20
2016-12,75,46
2017-01,74,53
2017-02,54,40
2017-03,36,24
2017-04,32,15
2017-05,59,53
2017-06,47,35
2017-07,30,21
2017-08,53,38
2017-09,102,85
2017-10,58,38
2017-11,51,42
2017-12,32,24
2018-01,24,30
2018-02,56,46
2018-03,82,74
2018-04,95,89
2018-05,16,86
